aa	ah
karibu	nearby
karibu	about to nigh
karibu	almost
karibu	welcome
karibu	come again
karibuni	soon
karibuni	recently
karidhi	loan money
kariha	forced action
kariha	forcible action
kariha	good luck
karii	Koran reader
karii	book reviewer
karii	critic
karikopwa	white stiff cloth
Karima	God the generous
karimu	generous
karimu	open handed
karimu	magnanimous
karimu	benevolent
karimu	bounteous
karimu	hospitable
karimu	liberal
karimu	munificent
karina	euphemism
karipia	scold
karipia	objugate
karipia	reprimand
karipia	use harsh language
karipio	reprimand
karipio	scolding
kariri	repeat
kariri	reiterate
kariri	recite
kariri	rehearse
karisaji	arrears
karisi	caries
karne	century
karo	tuition fees
karo	gifts given to the teacher by his her students
karo	school fees
karo	wash-basin
karo	sink
karo	septic tank
karoti	carrot
karotini	carotene
karotini	carotid
karua	Indian sailor
karua	Indian caste of potters
karuba	carob
karwe	devil- fish
kasa	sea-turtle
kasabu	gold braid
kasabu	brocade cloth
kasabu	gold cloth
kasabu	post marking finishing line
kasama	oath
kasama	joining of the bow of a vessel
kasama	ierror fault in plaiting
kaseni	nm - casein
kaseti	cassette
kasha	box
kasha	chest
kasha	case
kashabi	extract squeeze juice from sugar cane
kashabu	wooden rod which draws the threads of the web apart in weaving
kashabu	hollow gold or silver coloured bead
kashata	nougat
kashfa	slander
kashfa	affront
kashfa	scandal
kashfa	libel
kashida	shawl
kashifu	slander
kashifu	defame
kashifu	scandalize
kashifu	libel
kashimiri	cashmere
kasi	very fast
kasi	quickly
kasi	speedily
kasi	speed
kasi	force
kasia	oar
kasia	paddle
kasiba	barrel
kasida	praise song for prophet Muhammad
kasida	composition to praise a person
kasidi	deliberate
kasidi	intentional
kasiki	cloak
kasiki	long loose coat
kasiki	cask
kasiki	barrel
kasimile	coconut cream
kasimu	divide
kasimu	delegate
kasino	casino
kasiri	anger
kasiri	annoy
kasiri	reduce
kasirika	be angry
kasirika	be vexed
kasirika	irritate
kasirika	displease
kasirika	enrage
kasirika	exasperate
kasirika	incense
kasirisha	provoke
kasirisha	vex
kasirisha	irritate
kasirisha	enrage
kasirisha	exasperate
kasirisha	anger
kasirisha	cause to be angry
kasisi	priest
kasisi	chaplain
kasisi	minister
kasisi	deacon
kasisi	padre
kaskazi	northerly wind
kaskazi	north wind
kaskazi	north east monsoon
kaskazi	northerly direction
kaskazi	the north
kaskazini	north
kaskazini	northwards
kasma	vote
kasma	financial allocation
kasoko	crater
kasoro	defect
kasoro	blemish
kasoro	imperfection defective
kasoro	imperfect minus
kasoro	except
kasorobo	quarter to quarter to one
kasra	vowel i in Arabic script
kasri	palace
kasri	mansion
kasri	chateau
kastabini	thimble
kastadi	custard
kasuku	parrot
kasula	cassock
kasula	priests cloak
kasumba	opium
kasumba	brainwashing
kasumba	outdated ideology hangover
kaswende	syphillis
kata	cut
kata	hew mince
kata	cut into pieces
kata	amputate
kata	dissociate
kata	chop
kata	lop
kata	mutilate
kata	cut off
kata	deduct
kata	reduce
kata	ward
kata	round head pad used for carrying a load
kata	long rolled rope
kata	laddle
kata	dipper
kata	scoop
kata	surgical dressing
kata	surgical lint
kata	bandage
kataa	refuse
kataa	decline
kataa	disagree
kataa	disavow
kataa	reject
kataa	deny
kataa	renounce
katakata	hack
katalogi	catalogue
katani	hemp
katani	sisal fibre
katapila	caterpillar
katara	dilapidated vehicle
katavu	obstinate
katavu	recalcitrant
katavu	argumentative
katayo	denial
katayo	refusal
kataza	inhibit
kataza	forbid
kataza	prohibit
kataza	defer stop
katazo	objection
katazo	prohibition
katazo	inhibition
katazo	injunction
kategoria	category
katekisimu	catechism
katekista	catechist
katheta	catheter
kathodi	cathode
kati	centre
kati	middle median
katiba	constitution
katibu	secretary
katibu	amanuensis
katika	in
katika	on
katikati	middle between
katikiro	messenger
katili	cruel
katili	brutal
katili	brute
katili	fierce
katiti	little
katiti	small a little
katiza	interject
katiza	interrupt
katiza	postpone
katiza	take a shortcut
katizo	sectioning
katizo	postponement discontinuation
kato	cut
kato	section
Katoliki	Catholic
katoni	carton
katu	dark-red gum used when chewing betel
katu	never
katu	not at all
katua	cultivate
katuni	cartoon
katushi	cartouche
kauka	dry
kauka	wither
kauka	harden
kaukau	crisp
kaukiana	dry or harden completely
kaukiana	be dead stiff
kaukiana	become too thin
kaukiana	slim
kauleni	untrustworthy person
kauleni	two-faced double-tongued person
kauli	statement promise
kauli	comment feeling
kauliflawa	cauliflower
kaulimgongano	incoherence
kaulimgongano	unintelligibility
kaumu	crowd multitude
kaumu	followers
kaumwa	calumba root
kaunda	safari suit
kaunta	counter
kauri	cowrie shell
kauri	earthenware
kausha	dry
kausha	wipe somebody out
kausha	unlucky ill-omened person hinder ones progress
kauta	dust
kauta	grit
kauzu	dry sardines
kauzu	shameless person
kavu	dry parched
kavu	barren
kawa	conical shaped dish cover made of plaited grass
kawaida	sth usual
kawaida	regular customary
kawaida	norm
kawaida	normal
kawaida	common
kawi	energy
kawia	be late delay
kawia	lag
kawia	linger
kaya	village
kaya	household
kayakaya	crab
kayakaya	reef point
kayakaya	points with which a sail is bent to the yard
kayaki	kayak
kayamba	rattle
kayaya	plaudits
kayaya	thunderous applause
kayaya	immense
kayaya	colossal too much
kayekaye	ropes used to fasten head of sail to the yard
kaza	fasten
kaza	tighten
kaza	emphasize
kaza	fix speed up persevere
kazana	be firm
kazana	make an effort
kazana	exert oneself
kazi	work
kazi	duty labour
kazi	employment
kazi	occupation
kazi	job
kazi	function
kazi	decoration
kazi	embroidery
kazia	emphasize
keba	hurrah
kebehi	revile
kebehi	gibe jibe
kebehi	insult
kebehi	disgrace
kebo	cable
kechapu	ketchup
keche	sound of something breaking
kecheka	break
kechekeche	expression of something completely broken
kedi	craft
kedi	arrogance
kedi	haughtiness
keekee	drill
kefle	expression of disgusted surprise
kefle	indignation
kefle	aversion
kefu	not to mention let alone
kefya	wink
kefya	despise
kefya	disturb
kejekeje	loose
kejeli	ridicule
kejeli	mock
kejeli	make fun of
kejeli	ridicule
kejeli	mockery
kejeli	derision
kejeli	sarcasm
kejeli	irony
kekee	brace and bit
kekee	bracelet auger
keketa	gnaw bite
keketa	cut with something blunt or in saw-like motion
keketwa	have a severe stomach ache
kekevu	heartburn
kekevu	hiccup
keki	cake
kelbu	dog
kele	hustle and bustle
kelele	noise
kelele	din
kelele	uproar shut up
kema	cry sob
kema	shout
kemba	peel
kemea	scold
kemea	rebuke
kemea	carp
kemea	objurgate
kemia	chemistry
kemkemu	plenty
kemikali	chemical
kenda	nine
kende	scrotum
kende	testicle
keneka	distil
kenga	deceive
kenga	cheat
kenge	monitor lizard
kengea	protect defend
kengee	blinding bright light
kengele	bell
kengemeka	reproach accuse
kengeua	misdirect misguide
kengeuka	be misdirected
kengeuka	become aware
kengewa	kind of hawk or kite
kengeza	squinting squint
kengo	deceit trick
kenua	grin
kenua	show teeth
kenyekenye	absolutely
kenyekenye	entirely
kera	annoy
kera	aggravate
kera	discomfort
kera	molest
kera	nark
kera	vex trouble
kera	irritate
kereka	be annoyed
kereketa	irritate choke
kereketa	annoy
kereketa	grate on somebody
keremkeremu	type of bee - eating bird
kereng'ende	red-legged partridge
kereng'ende	francolin
kereng'ende	type of dragon-fly
kereza	saw
kereza	lathe
kereza	gnash
kerezo	lathe machine
kerezo	wheeze
keria	carrier
kero	annoyance
kerosini	kerosene
kesa	stop raining
kesha	vigil
kesha	keep vigil
keshi	cash
keshia	cashier
kesho	tomorrow future
kesho	doomsday
kesho	Last Judgement
kesho	Judgement day
keshokutwa	day after tomorrow
kesi	case
kesi	lawsuit
keta	knock sb down
kete	dice
kete	quietly
kete	noiselessly
keti	sit
keto	deep
keu	stroke of an axe
keua	straighten a building pole by cutting a notch
khaa	expression of anger
khalifa	caliph
khalifa	calif
kia	door bar latch
kia	joint of leg or arm
kia	step over
kiada	schematically
kiada	orderly
kiaga	promise
kiaga	agreement
kiakia	be active
kiakia	move about
kiali	flame
kiama	doomsday
kiama	Last judgement
kiama	Judgement day
kiambajengo	constituent
kiambata	accompaniment
kiambatisho	appendix
kiambato	appurtenance
kiambato	ingredient
kiambaza	wall
kiambishi	affix
kiambizi	oriele
kiambo	settlement village
kiamo	colostrum
kiamshahamu	aperitif
kiamshakinywa	breakfast
Kiamu	Kiswahili dialect spoken on Lamu Island
kiamu	rising during Maulid prayer
kiana	clay pot lid
kianga	burst of light or sunshine
kianga	ray of light after raining
kiangazamacho	present given for finding a lost article
kiangazi	the hot dry season
kiango	wall hook peg lamp holder bracket
kiangulio	incubator
kianio	rung
kianio	step
kianio	riser
kianzo	board used at the start of weaving a mat
kiapo	oath fealty
kiarifa	predicate
kiasi	moderate amount modicum part of
kiasi	enough
kiasi	average
kiasi	vi- bullet
kiatu	shoe
kiazi	potato
kiazi	murphy
kiazisukari	sugar-beet
kibaazi	plant used as scabies medicine
kibaazi	fish-poison plant
kibaba	quart measure of grain
kibaba	about
kibaba	grams
kibadala	alternative variant
kibafute	childrens guessing game
kibago	seat
kibago	stool
kibahaluli	small oil lamp
kibahaluli	small torch of twisted grass or paper spill
kibahaluli	used for lighting a pipe
kibaka	pickpocket
kibali	acceptance
kibali	approval permit
kibali	permission
kibama	vi- banana bread
kibanda	hut
kibanda	shed cabin
kibanda	cote
kibanda	booth
kibanda	kiosk
kibango	beam
kibango	deckbeam building yard
kibango	stocks
kibandiko	skewer
kibanio	clip
kibanio	pin
kibanio	small forceps
Kibantu	Bantu language
kibanzi	splinter
kibanzi	chip
kibao	slate
kibao	small board used for sitting
kibao	card for winding thread or wool on
kibao	coconut grater
kibao	quadrilateral board used for making concrete bricks
kibao	blow
kibao	slap
kibao	old hat cap
kibao	hit song
kibapara	pauper
kibapara	destitute
kibaraka	villain
kibaraka	political stooge puppet henchman
kibaramwezi	windmill toy made from the fronds of the coconut palm fixed to the end of a piece of the midriff
kibarango	short and thick stick
kibarua	day casual labourer
kibarua	navvy
kibarua	casual labour
kibarua	paid labour
kibatari	small oil lamp
kibavu	force
kibavu	strength
kibavu	physical power
kibawanta	short tailed small bird
kibe	vi-
kibe	hide and seek game
kibe	noise
kibe	shout
kibeberu	sweat odour
kibedi	trickery
kibedi	deception
kibedi	cheating cunning
kibendo	piece
kibendo	portion
kiberenge	trolley
kiberenge	railway handcar
kiberenge	prostitute
kibete	dwarf
kibete	lilliputian
kibete	manikin
kibete	midget
kibeti	purse
kibeti	wallet
kibia	earthware bowl
kibia	earthenware cooking pot
kibibi	young mistress lady
kibibi	rice doughnut
kibibi	numbness
kibibi	cramp
kibindo	fold knot of the loin cloth
kibindo	used as a pocket
kibiongo	hunchback
kibiongo	vi- hunchbacked person
kibiri	butt
kibiri	stub
kibirikizi	bugle
kibirikizi	proclaimer
kibirikizi	dwarf
kibirikizi	pimp procurer
kibirikizi	liar
kibirikizi	mischievous person
kibirikizi	sneak
kibiringo	spool
kibiringo	bobbin
kibirinzi	palm fronds windmill toy
kibiriti	matchbox lighter
kibiriti	flint
kibiriti	brimstone
kibiriti	scabies
kibiritingoma	prostitute
kibiritingoma	whore
kibiritingoma	short dress
kibisi	grebe
kibla	the direction of Mecca to which Muslims turn in prayer
kibla	imams alcove in the mosque
kibla	north
kibla	the Qaaba at Mecca
kibofu	bladder
kibogoshi	leather bag
kibogoyo	toothless person person with few teeth
kiboko	hippopotamus
kiboko	fat person
kiboko	whip strip of hippo hide
kiboko	ornamental stitch
kiboko	sth beautiful attractive outstanding
kibole	appendix
kiboleini	small hydrocele
kiboleini	small swelling of the scrotum
kibonge	family name
kibonge	surname
kibonge	fat and strong person
kibonyezo	dent
kibonzo	cartoon
kibua	anything light in weight
kibua	tuna-like fish
kibubusa	incognito
kibubusa	secretly
kibubutu	stump
kibudu	unslaughtered animal carcass die a natural death be slaughtered without observing the Muslim ritual die childless
kibuhuti	grief
kibuhuti	sorrow
kibuhuti	agony
kibuja	small pimple on ones face
kibulaa	kind of cassava
kibumba	packet
kibumbu	womans groin
kibunju	word used to mention a child
kibunzi	new year eve the end of the year
kibunzi	sanded board for divination
kibunzi	float
kibunzi	childrens game of sitting with legs stretched
kibunzi	while one of them is singing and touching their legs
kiburi	arrogance
kiburi	conceit
kiburudisho	refreshment
kiburunzi	taz
kibushuti	dwarf
kibuyu	calabash
kibuyu	gourd
kibwagizo	refrain
kibwagizo	chorus
kibwando	okra-like vegetable
kibwebwe	girdle
kibwebwe	bellyband to work hard
kibwebwe	to get down to work
kibwengo	elf
kibwengo	evil sea spirit
kibwengo	dance used in exorcism of spirits
kibweshu	despised person
kibwiko	club-foot
kibwiko	deformed foot
kibwiko	nm - sb with deformed toes fingers
kibwiko	small hole made in a lump of food in order to scoop out more gravy
kibyongo	hump
kibyongo	hunch
kicha	bunch bundle of palm leaf strips
kicha	vegetables etc
kicha	bunch of keys
kichaa	craziness
kichaa	lunacy
kichaa	madness
kichaa	mad person
kichaa	lunatic
kichaa	loopy
kichaa	bunch of fruits
kichaani	red flowered thorny tipped shrub
kichaazi	kind of banana
kichaga	framework rack for drying things
kichaka	splinter for straightening a crooked post
kichaka	support to pole
kichaka	bush
kichaka	shrub clump
kichaka	covert
kichane	splinter wood chip
kichane	splinter
kichanio	splitting knife
kichapuzi	vi- accelerator
kichea	brightness after cloudiness
kicheche	polecat zorilla
kichefuchefu	nausea
kichekesho	joke
kichekesho	farce
kichekesho	humour
kichekesho	jest
kicheko	laugh
kicheko	giggle
kicheko	guffaw
kicheko	mirth
kicheko	laughter
kichele	transparent
kichele	bare
kichele	naked
kichele	small change
kichelema	watery cooked cassava or potato
kichelema	piece of soap coconut left in the shell after it has been grated
kichikichi	by a blunt knife
kichimbakazi	vi- messenger spirit
kichimbakazi	fairy
kichinichini	underhandedly
kichinichini	underground
kichinichini	stealthily
kichinjaudhia	rose-like flowered herb used to cure headaches
kicho	fear
kicho	awe
kicho	reverence
kichocheo	anything used to stir up a fire
kichocheo	impetus
kichocheo	incentive
kichocheo	incitement
kichocheo	stimulant
kichocho	bilharzia
kichochoro	alleyway
kichochoro	passageway
kichochoro	footpath
kichochoro	narrow passage between houses
kichogo	nape of the neck
kichokoo	spur
kichomanguo	black jack plant
kichomanguo	bur
kichomi	sharp pain
kichomi	cramp
kichopa	packet
kichuguu	anthill
kichungi	cigarette filter
kichusi	rooflet
kichwa	head nob
kichwa	noddle
kichwa	leader of a family or society
kichwa	train engine
kichwa	heading
kichwamaji	silly
kichwamaji	stubborn person
kidahizo	headword
kidahizo	lemma catchword
kidaka	coconut in the first stage of growth on the flower stem
kidaka	before it becomes full grown
kidaka	bay
kidakatonge	uvula
kidakatonge	epiglottis
kidani	necklace
kidari	thorax
kidari	brisket
kidari	breast meat
kidari	ribs
kidato	step
kidato	rung of a ladder
kidato	form class in secondary school
kidau	ink pot
kidau	big scaled round floating fish
kidazi	bald head
kideri	fowl typhoid
kidete	firmly
kidete	strongly
kidevu	chin
kidhabu	cheat
kidhabu	liar
kidhi	satisfy
kidhi	fullfill
kidigi	very small
kidigi	little
kidimu	a- ruffle
kidimu	featherless fowl
kidimumsitu	wild citrus fruit tree
kidindia	continuously
kidindia	uninterruptedly
kidindia	endlessly it is raining continuously
kidingapopo	relapsing fever
kidingapopo	dengue fever
kidingapopo	telltale
kidinindi	tightly
kidinindi	without giving a chance
kidinya	very small
kidinya	little
kidiri	squirrel
kidoa	fleck
kidogo	few
kidogo	small
kidogori	bongo-drum
kidokezi	anecdote aide-memoire
kidokezo	hint
kidokezo	inkling
kidokezo	clue
kidokezo	intimation note
kidokezo	footnote
kidoko	click
kidoko	cluck
kidoko	smack
kidole	finger
kidole	toe
kidoletumbo	appendix
kidomo	dainty eater
kidomodomo	tell-tale
kidonda	sore
kidonda	ulcer
kidonda	wound
kidonda	chancre
kidondo	wood chip
kidonge	pill
kidonge	tablet
kidonge	capsule
kidonge	inflammation
kidonge	swelling
kidonge	small round thing
kidonge	cotton reel
kidonge	spool of thread
kidosho	beautiful girl
kidosho	small bird
kidotia	childs cap
kidoto	blinkers
kidoto	blinders
kidoto	small drinking vessel
kidu	hole in a canoe in which the mast is placed
kidu	small hole for playing pellet
kidu	a hole for playing traditional board game
kidubini	micro-organism
kidubwana	thingummy
kidubwana	thingumajig
kidususi	pimple
kiduhushi	somebody who spies on others
kidunavi	short person
kidunavi	dwarf
kidunavi	short thing
kidundu	forehead
kidunundu	kind of fish with a box-like shape with two horns and long mouth
kidurango	dwarf
kidurango	lilliputian
kidurusi	anthill
kidusi	unusual smell odour of anything
kidusi	smell odour of a wild animal or fish
kiduta	hill
kiduta	hillock
kiduta	knoll
kiduta	mound
kiduta	barrow
kiduta	hummock
kidutu	blackhead
kidutu	wart
kiduva	hump
kiduva	hunch
kiegama	hypotenuse
kielekezi	symbol
kielekezi	indication
kielelezo	illustration
